player_name,player_id,breakout_prob_2026,why_breakout
"Torres, Gleyber",650402,0.9988908,Top drivers: HardHit% Δ +3.5 pts • Barrels/BBE% Δ +1.9 pts • EV Δ +1.8 mph | Headwinds: Barrels/PA Δ +0.014 per PA • Power Index Δ (ISO) +0.011 per PA
"Paredes, Isaac",670623,0.9988894,Top drivers: HardHit% Δ +6.7 pts • Barrels/BBE% Δ +1.8 pts • EV Δ +2.4 mph | Headwinds: Barrels/PA Δ +0.012 per PA • Power Index Δ (ISO) +0.049 per PA
"Volpe, Anthony",683011,0.9987502,Top drivers: Barrels/BBE% Δ +6.6 pts • HardHit% Δ +6.2 pts • EV Δ +1.8 mph | Headwinds: Barrels/PA Δ +0.043 per PA • Power Index Δ (ISO) +0.059 per PA
"Carroll, Corbin",682998,0.99854493,Top drivers: HardHit% Δ +9.3 pts • Barrels/BBE% Δ +7.3 pts • EV Δ +3.3 mph | Headwinds: Takes/PA Δ -0.266 per PA • Barrels/PA Δ +0.045 per PA
"Springer, George",543807,0.9985442,Top drivers: Barrels/BBE% Δ +6.7 pts • HardHit% Δ +9.9 pts • EV Δ +2.5 mph | Headwinds: Barrels/PA Δ +0.042 per PA • Power Index Δ (ISO) +0.101 per PA
"Keith, Colt",690993,0.9982357,Top drivers: HardHit% Δ +8.4 pts • Barrels/BBE% Δ +3.5 pts • EV Δ +2.2 mph | Headwinds: Barrels/PA Δ +0.021 per PA • Power Index Δ (ISO) +0.037 per PA
"Bell, Josh",605137,0.99809057,Top drivers: HardHit% Δ +7.1 pts • Barrels/BBE% Δ +4.5 pts • EV Δ +1.5 mph | Headwinds: Barrels/PA Δ +0.034 per PA • Power Index Δ (ISO) +0.023 per PA
"Frelick, Sal",686217,0.9977768,Top drivers: HardHit% Δ +8.0 pts • Barrels/BBE% Δ +2.3 pts • EV Δ +2.6 mph | Headwinds: Takes/PA Δ -0.112 per PA • Barrels/PA Δ -0.550 per PA
"Pérez, Wenceel",672761,0.99773586,Top drivers: Barrels/BBE% Δ +4.4 pts • HardHit% Δ +9.4 pts • EV Δ +2.6 mph | Headwinds: Barrels/PA Δ +0.029 per PA • Power Index Δ (ISO) +0.044 per PA
"Busch, Michael",683737,0.99757963,Top drivers: HardHit% Δ +7.3 pts • Barrels/BBE% Δ +5.8 pts • EV Δ +2.4 mph | Headwinds: Takes/PA Δ -0.195 per PA • Barrels/PA Δ +0.045 per PA
"Tellez, Rowdy",642133,0.99749917,Top drivers: Barrels/BBE% Δ +7.3 pts • HardHit% Δ +9.8 pts • EV Δ +1.8 mph | Headwinds: Barrels/PA Δ +0.045 per PA • Power Index Δ (ISO) +0.066 per PA
"Turang, Brice",668930,0.9973392,Top drivers: Barrels/BBE% Δ +5.6 pts • HardHit% Δ +17.8 pts • EV Δ +4.1 mph | Headwinds: Barrels/PA Δ +0.035 per PA • Power Index Δ (ISO) +0.052 per PA
"Caminero, Junior",691406,0.9972498,Top drivers: HardHit% Δ +5.8 pts • Barrels/BBE% Δ +2.2 pts • EV Δ +2.7 mph | Headwinds: Barrels/PA Δ +0.019 per PA • Power Index Δ (ISO) +0.095 per PA
"Alonso, Pete",624413,0.9970715,Top drivers: HardHit% Δ +7.9 pts • Barrels/BBE% Δ +5.7 pts • EV Δ +3.7 mph | Headwinds: Takes/PA Δ -0.161 per PA • Barrels/PA Δ +0.042 per PA
"Crow-Armstrong, Pete",691718,0.9970511,Top drivers: Barrels/BBE% Δ +5.7 pts • HardHit% Δ +5.1 pts • EV Δ +3.4 mph | Headwinds: Barrels/PA Δ +0.040 per PA • Power Index Δ (ISO) +0.086 per PA
"Wells, Austin",669224,0.9970041,Top drivers: HardHit% Δ +6.2 pts • EV Δ +2.7 mph • Barrels/BBE% Δ +1.1 pts | Headwinds: Barrels/PA Δ +0.007 per PA • Power Index Δ (ISO) +0.050 per PA
"Adell, Jo",666176,0.99682283,Top drivers: HardHit% Δ +4.7 pts • Barrels/BBE% Δ +5.4 pts • EV Δ +1.9 mph | Headwinds: Takes/PA Δ -0.218 per PA • Barrels/PA Δ +0.039 per PA
"Vargas, Miguel",678246,0.9963032,Top drivers: HardHit% Δ +14.2 pts • Barrels/BBE% Δ +4.7 pts • EV Δ +3.5 mph | Headwinds: Takes/PA Δ -0.164 per PA • Barrels/PA Δ +0.037 per PA
"Sheets, Gavin",657757,0.99601644,Top drivers: HardHit% Δ +11.3 pts • Barrels/BBE% Δ +3.8 pts • EV Δ +2.1 mph | Headwinds: Barrels/PA Δ +0.028 per PA • Power Index Δ (ISO) +0.053 per PA
"Langford, Wyatt",694671,0.9959437,Top drivers: HardHit% Δ +4.6 pts • Barrels/BBE% Δ +4.6 pts • EV Δ +1.8 mph | Headwinds: Barrels/PA Δ +0.019 per PA • Power Index Δ (ISO) +0.028 per PA
