feature,gain,weight,gain_pct,rank
hardhit_percent_delta,30.396636962890625,215.0,26.789840047326454,1
barrels_per_bbe_percent_delta,26.93964958190918,214.0,23.74305105237338,2
barrels_per_pa_delta,8.814016342163086,118.0,7.7681648884165115,3
pa,7.770485877990723,256.0,6.848457413743583,4
attack_angle_delta,5.957113265991211,48.0,5.250255537628875,5
launch_speed_delta,4.658598899841309,199.0,4.105819980143332,6
swings_per_pa_delta,3.988297700881958,194.0,3.515055221345342,7
rate_ideal_attack_angle_delta,3.3868513107299805,57.0,2.984975113835938,8
takes_per_pa_delta,2.970752716064453,210.0,2.618249847201483,9
bb_per_pa_delta,2.7856032848358154,181.0,2.455069833125446,10
bb_k_ratio_delta,2.3029956817626953,184.0,2.029727368176554,11
attack_angle_toward_opt_delta,2.211380958557129,18.0,1.9489834429964898,12
hardhit_per_pa_delta,1.777693271636963,75.0,1.5667561664306495,13
whiffs_per_pa_delta,1.676499843597412,123.0,1.4775701240954449,14
barrels_per_swing_delta,1.5862025022506714,104.0,1.397987263191086,15
contact_per_pa_delta,1.3189862966537476,152.0,1.1624783345311596,16
whiff_per_swing_delta,1.1539000272750854,50.0,1.0169808324205305,17
power_index_per_pa_delta,1.0488841533660889,122.0,0.9244259070882683,18
pa_delta,0.8290790319442749,119.0,0.7307023694593351,19
contact_rate_delta,0.7302979230880737,64.0,0.6436424059118573,20
bat_speed_delta,0.6192473769187927,12.0,0.545768869024362,21
k_per_pa_delta,0.5401284098625183,97.0,0.4760379815339152,22
